Address,Status,Property Type,Price,Price per sqft,HOA Fees,Bed,Bath,Size,Garage,Year Built,Load DateTime,Street,City,State,Zip
"100 Pacific Ave, Alameda, CA 94501",Pending,Single Family,"699,000",698,No Info,3,1.0,"1,002",No Info,1945,Tue Sep 28 18:24:15 2021,100 Pacific Ave, Alameda,CA,94501
"2137 Otis Dr Apt 314, Alameda, CA 94501",Pending,Condo,"625,000",538,495,2,2.0,"1,162",1,1966,Tue Sep 28 18:24:15 2021,2137 Otis Dr Apt 314, Alameda,CA,94501
"888 Willow St Unit A, Alameda, CA 94501",Pending,Condo,"899,000",441,495,3,2.0,"2,040",1,1915,Tue Sep 28 18:24:15 2021,888 Willow St Unit A, Alameda,CA,94501
"2417 Eagle Ave, Alameda, CA 94501",Pending,Single Family,"890,000",909,495,2,1.0,979,1,1910,Tue Sep 28 18:24:15 2021,2417 Eagle Ave, Alameda,CA,94501
"955 Shorepoint Ct Apt 216, Alameda, CA 94501",Pending,Condo,"460,000",595,405,1,1.0,773,1,1971,Tue Sep 28 18:24:15 2021,955 Shorepoint Ct Apt 216, Alameda,CA,94501
"1209 Mound St, Alameda, CA 94501",Pending,Single Family,"795,000",772,405,2,1.0,"1,030",1,1920,Tue Sep 28 18:24:15 2021,1209 Mound St, Alameda,CA,94501
"3116 El Paseo, Alameda, CA 94502",Pending,Townhome,"799,000",624,454,2,1.0,"1,280",2,1967,Tue Sep 28 18:24:15 2021,3116 El Paseo, Alameda,CA,94502
"122 Cypress St, Alameda, CA 94501",Pending,Condo,"599,000",641,405,3,1.0,935,2,1967,Tue Sep 28 18:24:15 2021,122 Cypress St, Alameda,CA,94501
"3437 Oleander Ave, Alameda, CA 94502",Pending,Townhome,"995,000",565,539,3,2.0,"1,760",2,1974,Tue Sep 28 18:24:15 2021,3437 Oleander Ave, Alameda,CA,94502
"1415 Lafayette St, Alameda, CA 94501",Pending,Single Family,"2,900,000",552,539,5,5.0,"5,249",2,1893,Tue Sep 28 18:24:15 2021,1415 Lafayette St, Alameda,CA,94501
"38 Purcell Dr, Alameda, CA 94502",Pending,Townhome,"1,195,000",504,655,3,2.0,"2,370",2,1986,Tue Sep 28 18:24:15 2021,38 Purcell Dr, Alameda,CA,94502
"1715 Grand St, Alameda, CA 94501",Pending,Single Family,"850,000",967,655,2,1.0,879,1,1939,Tue Sep 28 18:24:15 2021,1715 Grand St, Alameda,CA,94501
"1019 Via Aliso, Alameda, CA 94502",Pending,Townhome,"888,000",557,454,3,2.0,"1,594",2,1968,Tue Sep 28 18:24:15 2021,1019 Via Aliso, Alameda,CA,94502
"510 Central Ave, Alameda, CA 94501",Pending,Single Family,"2,188,000",368,454,13,4.0,"5,943",2,1902,Tue Sep 28 18:24:15 2021,510 Central Ave, Alameda,CA,94501
"1547 Sherman St, Alameda, CA 94501",Pending,Multi-Family,"1,849,000",614,454,8,4.0,"3,012",4,1895,Tue Sep 28 18:24:15 2021,1547 Sherman St, Alameda,CA,94501
"1423 Central Ave, Alameda, CA 94501",Pending,Multi-Family,"2,190,000",614,454,No Info,No Info,No Info,4,1915,Tue Sep 28 18:24:15 2021,1423 Central Ave, Alameda,CA,94501
"888 Willow St, Alameda, CA 94501",Pending,Multi-Family,"1,789,000",579,454,5,5.0,"3,092",2,1915,Tue Sep 28 18:24:15 2021,888 Willow St, Alameda,CA,94501
"1543 Sherman St, Alameda, CA 94501",Pending,Multi-Family,"1,389,000",546,454,6,2.0,"2,542",4,1895,Tue Sep 28 18:24:15 2021,1543 Sherman St, Alameda,CA,94501
"617 Pacific Ave Apt X, Alameda, CA 94501",Pending,Single Family,"799,000",996,454,2,1.0,802,1,1925,Tue Sep 28 18:24:15 2021,617 Pacific Ave Apt X, Alameda,CA,94501
"307 Pacific Ave, Alameda, CA 94501",Pending,Townhome,"599,000",819,338,2,1.0,731,1,1940,Tue Sep 28 18:24:15 2021,307 Pacific Ave, Alameda,CA,94501
"933 Shoreline Dr Apt 104, Alameda, CA 94501",Pending,Condo,"799,000",588,535,2,2.0,"1,360",1,1970,Tue Sep 28 18:24:15 2021,933 Shoreline Dr Apt 104, Alameda,CA,94501
"3276 Washington St, Alameda, CA 94501",Pending,Single Family,"1,299,000",825,535,3,3.0,"1,575",2,1958,Tue Sep 28 18:24:15 2021,3276 Washington St, Alameda,CA,94501
"1916 Everett St, Alameda, CA 94501",Pending,Single Family,"998,000",668,535,3,1.0,"1,494",2,1895,Tue Sep 28 18:24:15 2021,1916 Everett St, Alameda,CA,94501
"2111 San Antonio Ave, Alameda, CA 94501",Pending,Multi-Family,"1,188,000",436,535,6,4.0,"2,726",2,1875,Tue Sep 28 18:24:15 2021,2111 San Antonio Ave, Alameda,CA,94501
"1355 Crown Dr, Alameda, CA 94501",Pending,Condo,"849,000",715,540,2,2.0,"1,188",1,1980,Tue Sep 28 18:24:15 2021,1355 Crown Dr, Alameda,CA,94501
"921 Santa Clara Ave, Alameda, CA 94501",Pending,Single Family,"995,000",677,540,3,4.0,"1,469",1,1932,Tue Sep 28 18:24:15 2021,921 Santa Clara Ave, Alameda,CA,94501
"1141 Straub Way, Alameda, CA 94502",Pending,Single Family,"1,095,000",642,225,3,2.0,"1,706",2,1989,Tue Sep 28 18:24:15 2021,1141 Straub Way, Alameda,CA,94502
"1069 Holly St, Alameda, CA 94502",Pending,Single Family,"1,290,000",544,225,4,2.0,"2,373",2,1968,Tue Sep 28 18:24:15 2021,1069 Holly St, Alameda,CA,94502
"443 Indian Bay, Alameda, CA 94502",Pending,Single Family,"1,298,888",659,357,3,2.0,"1,972",2,1990,Tue Sep 28 18:24:15 2021,443 Indian Bay, Alameda,CA,94502
"2759 5th St, Alameda, CA 94501",Pending,Single Family,"1,299,000",518,151,4,3.0,"2,508",2,2016,Tue Sep 28 18:24:15 2021,2759 5th St, Alameda,CA,94501
"3208 Monte Vista Ave, Alameda, CA 94501",Pending,Single Family,"1,498,000",631,151,3,2.0,"2,375",1,1931,Tue Sep 28 18:24:15 2021,3208 Monte Vista Ave, Alameda,CA,94501
"1520 Santa Clara Ave, Alameda, CA 94501",Pending,Multi-Family,"1,259,000",646,151,No Info,No Info,"1,950",2,1900,Tue Sep 28 18:24:15 2021,1520 Santa Clara Ave, Alameda,CA,94501
,Pending,Single Family,"1,195,000",712,235,4,2.0,"1,679",2,2000,Tue Sep 28 18:24:15 2021,,,,
"186 Ratto Rd, Alameda, CA 94502",Pending,Single Family,"1,659,000",818,222,3,2.0,"2,028",2,1997,Tue Sep 28 18:24:15 2021,186 Ratto Rd, Alameda,CA,94502
"89 Applegate Way, Alameda, CA 94502",Pending,Single Family,"1,788,000",778,206,4,3.0,"2,299",2,1989,Tue Sep 28 18:24:15 2021,89 Applegate Way, Alameda,CA,94502
"28 McDonnel Rd, Alameda, CA 94502",Pending,Single Family,"1,195,000",636,222,4,2.0,"1,879",2,1996,Tue Sep 28 18:24:15 2021,28 McDonnel Rd, Alameda,CA,94502
"413 Coral Reef Rd, Alameda, CA 94501",Pending,Single Family,"998,000",803,222,3,2.0,"1,243",2,1963,Tue Sep 28 18:24:15 2021,413 Coral Reef Rd, Alameda,CA,94501
"3274 Central Ave, Alameda, CA 94501",Pending,Single Family,"1,095,000",819,222,4,2.0,"1,337",2,1910,Tue Sep 28 18:24:15 2021,3274 Central Ave, Alameda,CA,94501
"557 Creedon Cir, Alameda, CA 94502",Pending,Single Family,"2,750,000",681,237,6,5.0,"4,037",3,1997,Tue Sep 28 18:24:15 2021,557 Creedon Cir, Alameda,CA,94502
"2421 Santa Rosa Ln, Alameda, CA 94501",Pending,Single Family,"1,625,000",556,171,4,2.0,"2,925",2,2006,Tue Sep 28 18:24:15 2021,2421 Santa Rosa Ln, Alameda,CA,94501
"1413 San Antonio Ave, Alameda, CA 94501",Pending,Single Family,"1,750,000",852,171,4,1.0,"2,055",2,1915,Tue Sep 28 18:24:15 2021,1413 San Antonio Ave, Alameda,CA,94501
"2846 Fifth St, Alameda, CA 94501",Pending,Condo,"910,632",698,565,2,2.0,"1,305",1,2021,Tue Sep 28 18:24:15 2021,2846 Fifth St, Alameda,CA,94501
